search_id,user_id,search_query,searched_movie_id,clicked_movie_id,search_timestamp,result_rank
40,5,Superman II,2641,,2025-10-21 16:44:55,4
41,5,"Good Morning, Vietnam",3448,3448.0,2025-09-14 12:45:13,10
42,5,"Spanish Prisoner, The",1834,1834.0,2026-07-07 10:54:15,1
43,5,Black Hawk Down,5010,,2026-09-01 13:36:52,9
44,6,Star Trek II: The Wrath of Khan,1374,,2026-02-11 23:20:03,6
45,6,Life Is Beautiful,2324,,2026-05-04 01:08:38,5
46,6,"Sting, The",1234,,2025-09-18 11:07:17,8
47,6,"Lost World: Jurassic Park, The",1544,,2026-07-02 06:24:26,8
48,6,Pi,1921,1921.0,2026-08-24 05:50:45,1
49,6,"Princess Bride, The",1197,,2026-07-03 03:17:22,7
50,6,Shine,1357,,2026-06-27 22:54:47,1
51,6,Amadeus,1225,1225.0,2025-12-11 16:15:11,2
52,6,Kids,175,175.0,2026-08-03 12:27:54,5
53,7,Wallace & Gromit: The Wrong Trousers,1148,1148.0,2026-06-18 07:17:39,2
54,8,Into the Forest,142424,,2026-01-28 15:32:23,7
55,8,"Bourne Supremacy, The",8665,8665.0,2026-02-02 05:46:38,1
56,8,Ordinary People,1956,,2026-07-15 19:39:24,4
57,8,Charlotte's Web,2137,2137.0,2025-10-24 13:15:21,1
58,8,Moonstruck,3072,3072.0,2026-08-06 20:00:13,3
59,8,"Ring, The",5679,5679.0,2026-08-26 14:20:36,3
60,8,Munich,41997,41997.0,2026-05-11 12:31:21,4
61,8,Dragonheart,653,653.0,2026-07-26 09:37:52,1
62,8,Man on the Moon,3174,3174.0,2025-12-18 07:04:35,8
63,8,Starship Troopers,1676,1676.0,2026-02-05 18:32:26,9
64,9,Dreamcatcher,6250,,2025-10-04 01:52:21,7
65,9,"Da Vinci Code, The",45447,,2025-09-22 05:31:04,9
66,9,Alien,1214,1214.0,2026-01-09 15:31:19,1
67,9,Avatar,72998,,2025-09-23 12:57:25,5
68,9,Independence Day,780,,2026-02-07 02:19:35,9
69,9,WarGames,6979,,2025-12-21 19:06:56,3
70,9,Rope,2176,2176.0,2026-01-29 19:16:02,1
71,9,Stargate,316,,2025-11-16 05:44:16,8
72,9,Sex and Lucia,5477,5477.0,2025-09-19 03:25:18,3
73,9,Looper,96610,96610.0,2025-10-23 19:44:49,9
74,9,Batman,592,592.0,2025-10-19 00:22:06,2
75,9,"Matrix, The",2571,2571.0,2025-11-21 10:00:18,9
76,9,Dead Man Walking,36,36.0,2026-02-24 10:18:14,5
77,9,Midnight Cowboy,1952,,2025-10-20 07:43:46,8
78,10,Jaws,1387,1387.0,2026-03-15 19:57:23,3
79,11,One Flew Over the Cuckoo's Nest,1193,,2026-02-13 22:23:52,6
80,11,Three Kings,2890,,2026-03-24 11:46:10,8
81,11,Bewitched,33836,33836.0,2026-08-08 08:35:11,1
82,11,From Russia with Love,2948,2948.0,2026-01-03 22:56:28,5
83,11,Who Framed Roger Rabbit?,2987,2987.0,2025-11-10 06:43:33,4
84,11,"Lord of the Rings: The Fellowship of the Ring, The",4993,,2025-11-08 15:45:08,1
85,12,12 Years a Slave,105844,,2026-04-08 23:48:22,5
86,12,"Postman Always Rings Twice, The",7728,,2026-02-25 03:48:58,5
87,12,Shakespeare in Love,2396,2396.0,2026-01-08 16:58:20,5
88,12,Phir Hera Pheri,134334,134334.0,2026-06-05 14:19:39,4
89,12,Flight of the Navigator,2046,2046.0,2026-04-07 00:23:23,7
90,12,Deliverance,2871,2871.0,2025-12-13 04:03:28,2
91,12,Prometheus,94864,,2026-04-08 09:34:17,10
92,12,Star Wars: Episode IV - A New Hope,260,260.0,2026-05-30 14:50:43,2
93,12,Finding Dory,157296,157296.0,2025-11-21 19:31:38,2
94,12,When Harry Met Sally...,1307,,2025-09-12 06:51:09,10
95,12,Anger Management,6287,6287.0,2026-08-12 01:31:49,6
96,12,"Killing Fields, The",1299,1299.0,2026-04-24 06:57:26,7
97,12,Apocalypse Now,1208,,2026-02-07 16:13:20,8
98,12,Fatal Attraction,3101,,2025-11-20 04:13:31,9
99,13,M*A*S*H,5060,5060.0,2025-11-02 14:51:06,3
100,13,Lethal Weapon 3,2002,2002.0,2026-08-25 00:50:13,2
101,13,Clash of the Titans,5540,5540.0,2025-11-24 03:41:32,3
102,13,High Fidelity,3481,,2026-07-01 17:50:25,6
103,14,Brazil,1199,,2026-07-19 21:31:05,10
104,14,Mulan,1907,1907.0,2026-08-21 04:46:21,5
105,14,"Incredibles, The",8961,8961.0,2026-05-05 11:38:53,5
106,14,Knocked Up,52973,52973.0,2025-12-10 08:49:47,4
107,14,X2: X-Men United,6333,,2026-07-03 08:26:44,8
108,14,Captain America: Civil War,122920,,2025-11-22 22:13:38,10
109,15,Charlotte's Web,2137,2137.0,2026-04-30 09:31:46,3
110,16,Aliens,1200,,2025-10-02 04:07:56,10
111,16,Ratatouille,50872,,2026-05-27 09:15:53,9
112,16,Billy Madison,216,216.0,2026-01-24 14:22:56,10
113,16,Brazil,1199,,2026-08-25 13:38:29,6
114,16,Spider-Man,5349,,2026-01-22 03:21:20,5
115,16,Magnolia,3160,,2026-04-07 15:20:13,5
116,16,Elizabeth,2336,,2026-06-29 00:22:00,10
117,17,Cliffhanger,434,434.0,2025-10-06 16:48:45,5
118,17,Sneakers,1396,1396.0,2025-12-05 03:57:21,4
119,17,Babe,34,,2026-06-25 02:32:24,10
120,17,"Sixth Sense, The",2762,2762.0,2026-03-20 09:09:52,1
121,17,Dragon: The Bruce Lee Story,5055,,2026-06-13 09:19:27,10
122,18,Up,68954,68954.0,2026-06-19 10:39:23,4
123,18,Rush Hour 2,4701,,2025-09-27 09:19:29,10
124,18,"Good Morning, Vietnam",3448,3448.0,2025-12-06 13:44:47,4
125,18,"Hobbit: An Unexpected Journey, The",98809,98809.0,2026-01-28 21:12:41,2
126,18,"Crouching Tiger, Hidden Dragon",3996,3996.0,2026-08-24 10:33:31,4
127,19,Godzilla 2000,3864,3864.0,2026-09-04 16:44:27,1
128,19,Ready to Rumble,3511,,2026-06-25 04:16:20,5
129,20,"Other Woman, The",110771,,2026-07-11 12:42:14,10
130,21,Star Wars: Episode IV - A New Hope,260,260.0,2026-03-15 08:10:45,2
131,21,Made,4452,4452.0,2025-09-21 19:45:20,7
132,21,Anaconda,1499,,2026-04-01 17:05:19,10
133,21,Starship Troopers,1676,1676.0,2026-06-09 21:45:04,3
134,21,Cabin Boy,429,429.0,2026-04-23 09:08:03,5
135,21,Moonrise Kingdom,94959,,2026-07-19 03:40:44,8
136,21,Kiss Kiss Bang Bang,38061,,2026-01-05 09:27:17,9
137,21,King Kong,2367,,2025-12-11 06:21:31,8
138,21,Alice Through the Looking Glass,158813,158813.0,2026-08-16 23:44:35,4
139,21,My Father the Hero,26871,,2025-11-01 23:19:29,8
140,21,Gone in 60 Seconds,3717,3717.0,2025-10-11 06:04:59,1
141,21,Dawn of the Dead,7360,7360.0,2026-01-23 05:19:16,3
142,21,Kick-Ass,76251,,2026-06-30 01:26:34,4
143,22,"Birds, The",1333,1333.0,2025-11-27 17:05:03,3
144,22,Ace Ventura: When Nature Calls,19,,2026-07-18 00:13:12,9
145,22,"Man in the Iron Mask, The",1801,1801.0,2025-12-28 20:38:25,4
146,22,Mulholland Drive,4848,4848.0,2026-08-13 04:40:51,5
147,22,Memento,4226,,2026-05-06 04:37:19,4
148,22,"Day After Tomorrow, The",8361,,2026-09-06 00:19:09,7
149,23,Tommy Boy,333,,2026-03-14 23:23:05,10
150,23,"Nobody Speak: Hulk Hogan, Gawker and Trials of a Free Press",171251,,2026-01-24 14:48:46,10
151,23,"Hangover, The",69122,,2026-03-11 17:59:24,2
152,23,Catch Me If You Can,5989,,2025-12-15 18:43:24,10
153,23,Forrest Gump,356,,2025-09-24 20:31:06,7
154,23,That Thing You Do!,1042,,2026-01-26 20:59:54,9
155,23,Charlie's Angels: Full Throttle,6503,6503.0,2026-07-14 05:06:50,5
156,24,Confessions of a Dangerous Mind,144606,144606.0,2026-03-28 08:29:24,1
157,24,"Abyss, The",1127,,2026-06-21 00:27:55,7
158,24,Harry Potter and the Prisoner of Azkaban,8368,,2026-07-02 04:16:21,6
159,24,Stigmata,2840,,2026-02-24 05:31:25,6
160,24,Raiders of the Lost Ark,1198,1198.0,2025-11-15 19:54:46,3
161,24,From Russia with Love,2948,2948.0,2026-02-10 04:42:21,2
162,25,Eternal Sunshine of the Spotless Mind,7361,7361.0,2025-11-15 00:31:11,8
163,25,What Time Is It There?,5028,5028.0,2026-06-15 07:32:34,1
164,25,Escape from New York,1129,,2026-06-28 01:08:01,9
165,25,Akira,1274,,2026-04-02 18:58:11,8
166,25,"Texas Chainsaw Massacre, The",2459,2459.0,2025-11-17 14:54:11,10
167,25,Wild Tales,116897,116897.0,2026-05-12 22:53:24,5
168,25,"New One-Armed Swordsman, The",88327,88327.0,2026-01-09 10:02:57,5
169,25,Europa Europa,6235,,2026-03-18 05:35:51,9
170,25,"American Astronaut, The",4777,4777.0,2026-06-01 20:02:03,1
171,25,Unbreakable,3994,3994.0,2026-05-20 16:08:44,7
172,26,"Grand Budapest Hotel, The",109374,,2025-11-25 12:50:33,8
173,26,"Mask, The",367,367.0,2026-03-17 18:57:44,5
174,26,Independence Day,780,,2025-11-24 14:33:34,10
175,26,Dirty Dancing,1088,,2026-08-27 04:19:57,5
176,26,Wonder Woman,143355,143355.0,2026-04-09 03:26:34,6
177,26,Evil Dead II,1261,,2025-09-18 18:18:08,5
178,26,"Lord of the Rings: The Two Towers, The",5952,,2026-08-21 22:58:58,3
179,26,Pacific Rim,103228,,2026-08-18 19:20:16,5
180,26,American History X,2329,,2025-11-22 15:54:06,8
181,26,Gladiator,3578,3578.0,2025-11-03 04:49:01,5
182,26,Gremlins 2: The New Batch,2004,2004.0,2026-07-10 13:10:41,1
183,26,Cooties,141799,,2026-02-25 07:57:25,5
184,27,Dumb and Dumber To,116977,116977.0,2025-09-14 17:47:07,1
185,27,Ghostbusters II,2717,2717.0,2026-01-16 01:33:09,3
186,27,Leaving Las Vegas,25,,2025-12-04 03:32:55,7
187,27,V for Vendetta,44191,,2026-08-23 11:28:03,5
188,27,On Her Majesty's Secret Service,3633,,2026-02-13 01:30:57,5
189,27,"Notebook, The",8533,8533.0,2026-04-26 00:15:40,3
190,27,Never Been Kissed,2581,,2026-08-03 01:23:18,1
191,27,Scarface,4262,4262.0,2026-08-31 13:40:38,1
192,27,Adanggaman,4449,4449.0,2026-03-20 09:59:25,8
193,28,Papillon,3198,,2026-04-22 20:05:54,6
194,28,Jaws,1387,1387.0,2026-01-20 10:54:11,1
195,28,Mad Max Beyond Thunderdome,3704,,2025-09-17 13:21:57,9
196,28,Mickey Blue Eyes,2805,,2026-08-22 14:29:22,7
197,28,"Man from Snowy River, The",4535,4535.0,2025-11-30 22:15:23,2
198,28,Iron Man 2,77561,77561.0,2025-10-09 04:57:45,2
199,28,What Women Want,4018,,2026-06-13 21:56:48,3
200,28,Titanic,1721,1721.0,2026-02-12 03:58:25,6
201,28,Easy A,80549,,2026-08-25 22:20:10,7
202,28,Holes,6297,6297.0,2025-10-29 06:55:53,4
203,29,Goldfinger,2947,2947.0,2026-07-16 07:58:29,4
204,30,They Live,4553,4553.0,2026-02-09 23:08:23,2
205,30,Donnie Darko,4878,4878.0,2026-05-16 10:09:11,3
206,31,House Party 3,470,,2026-01-23 02:19:55,6
207,31,"Rock, The",733,733.0,2026-03-06 16:36:36,4
208,31,Avatar,72998,72998.0,2025-09-15 17:57:40,3
209,31,Mad Max: Fury Road,122882,,2026-09-03 04:41:05,10
210,31,Little Miss Sunshine,46578,46578.0,2026-01-28 21:13:52,2
211,31,"Substitute, The",694,694.0,2026-05-07 02:10:15,5
212,31,"Muppet Movie, The",3396,,2025-10-27 06:46:03,10
213,32,"General, The",3022,3022.0,2026-08-29 01:27:10,9
214,33,My Neighbor Totoro,5971,,2025-11-23 13:03:52,8
215,33,Midnight in Paris,86882,86882.0,2026-05-25 23:32:47,1
216,33,Pride & Prejudice,40629,40629.0,2026-06-22 23:50:17,1
217,33,Wonder Woman,143355,,2025-10-27 07:55:31,8
218,33,Made,4452,,2026-07-15 04:07:52,7
219,33,Kill Bill: Vol. 1,6874,6874.0,2026-01-22 19:02:53,10
220,33,Withnail & I,1202,,2026-01-07 07:37:44,7
221,33,Fantastic Four: Rise of the Silver Surfer,53464,53464.0,2026-01-25 10:20:24,2
222,33,Dog Day Afternoon,3362,,2026-02-25 01:55:14,9
223,34,Mortal Kombat,44,,2026-06-27 16:02:55,9
224,34,Swimming with Sharks,322,,2026-03-13 20:01:05,9
225,34,Thirteen Days,4033,4033.0,2026-06-29 02:52:01,4
226,34,Murder by Death,5021,5021.0,2025-12-06 03:51:39,2
227,34,Animal House,3421,3421.0,2025-11-17 18:22:58,2
228,34,"Planes, Trains & Automobiles",4002,4002.0,2026-05-09 10:43:19,3
229,34,The Devil's Advocate,1645,1645.0,2026-08-11 17:09:12,4
230,34,Autumn in New York,3824,,2026-03-11 07:54:42,8
231,34,Spawn,1591,1591.0,2025-10-04 21:03:25,9
232,34,Forrest Gump,356,356.0,2026-07-07 23:36:25,6
233,34,"Limey, The",2912,,2026-04-08 17:41:19,8
234,34,Pulp Fiction,296,296.0,2026-03-09 07:02:18,3
235,35,Spectre,136020,136020.0,2026-08-17 08:17:49,6
236,35,Inherent Vice,116799,116799.0,2025-11-30 16:53:27,4
237,35,Black Panther,122906,,2026-09-02 00:39:13,8
238,35,Superman Returns,46530,46530.0,2026-01-17 19:18:14,2
239,35,Space Cowboys,3827,,2025-09-25 23:29:55,3
240,36,Independence Day,780,,2026-06-19 00:21:24,6
241,36,Twelfth Night,892,892.0,2026-03-19 13:05:46,4
242,36,Highlander III: The Sorcerer,405,,2026-07-31 14:09:56,10
243,36,"Shawshank Redemption, The",318,318.0,2025-11-11 03:51:21,4
244,36,Traffic,4034,4034.0,2026-07-17 02:19:17,6
245,37,The Hunger,3550,,2026-03-11 22:30:13,10
246,37,"Fifth Element, The",1527,1527.0,2026-01-08 10:33:16,2
247,37,Robin Hood: Men in Tights,520,,2025-09-28 04:08:55,9
248,37,Foxy Brown,4065,,2025-10-30 15:49:08,8
249,37,Batman Begins,33794,33794.0,2026-08-31 04:56:32,1
250,37,Troy,7458,7458.0,2026-07-10 21:32:11,2
251,37,"Last Samurai, The",7143,7143.0,2026-01-08 07:19:16,9
252,37,Back to the Future Part III,2012,2012.0,2026-02-02 12:36:37,1
253,37,Bring It On,3882,,2025-12-05 16:36:52,8
254,37,"Avventura, L'",8195,8195.0,2025-12-25 19:58:20,3
255,38,"Streetcar Named Desire, A",1104,,2025-12-05 22:57:27,10
256,38,Rosewood,1465,,2026-07-04 15:15:04,10
257,38,Over the Hedge,45431,,2025-12-30 22:51:30,7
258,38,Shutter Island,74458,,2026-04-24 15:10:52,6
259,38,She's All That,2485,2485.0,2026-02-17 08:37:48,1
260,39,Peter Pan,2087,2087.0,2026-01-01 07:29:55,2
261,40,Dial M for Murder,1086,1086.0,2026-05-27 05:58:22,7
262,40,Pitch Perfect,96588,,2026-08-28 12:19:56,7
263,40,Dennis the Menace,6166,,2026-06-20 10:30:13,4
264,40,Milagro Beanfield War,4523,,2026-08-26 18:19:16,4
265,40,"Cell, The",3863,,2026-01-28 16:13:03,6
266,40,Sinbad: Legend of the Seven Seas,6536,6536.0,2026-08-08 12:43:29,7
267,40,Casablanca,912,912.0,2026-02-04 14:20:41,2
268,40,Twilight,63992,63992.0,2026-08-22 04:43:25,1
269,41,Speed,377,377.0,2025-10-19 20:31:28,4
270,41,Along Came a Spider,4238,4238.0,2026-08-27 04:50:17,8
271,41,Dirty Dancing,1088,1088.0,2026-06-05 18:47:09,2
272,41,In the Mood For Love,4144,4144.0,2026-02-25 23:57:44,4
273,41,"Good, the Bad and the Ugly, The",1201,,2026-05-25 06:31:03,5
274,41,"Grand Budapest Hotel, The",109374,,2026-04-28 01:51:39,8
275,41,St. Elmo's Fire,2146,,2026-03-06 08:37:42,10
276,41,Ghost,587,,2026-02-21 13:06:12,8
277,41,"Magnificent Seven, The",4327,,2026-08-05 05:58:17,8
278,41,"Girl with the Dragon Tattoo, The",91658,,2026-03-04 02:30:09,4
279,41,xXx: State of the Union,33158,,2026-03-15 06:01:40,5
280,41,Ghost,587,587.0,2026-03-17 11:37:45,10
281,41,Léon: The Professional,293,,2026-06-23 15:28:42,8
282,42,"Monster, The",2593,,2026-06-18 13:07:41,5
283,42,300,51662,,2026-09-07 05:06:44,6
284,42,"Hunt for Red October, The",1610,,2026-08-14 03:21:23,6
285,42,Cast Away,4022,4022.0,2026-05-14 01:26:40,5
286,42,"Punisher, The",7439,,2026-06-29 00:52:25,10
287,42,Heat,6,6.0,2026-05-12 06:36:25,9
288,42,My Cousin Vinny,2302,,2026-07-23 21:41:45,10
289,42,Midnight in the Garden of Good and Evil,1711,1711.0,2025-09-20 01:50:36,2
290,42,Sucker Punch,85510,85510.0,2026-03-09 19:15:50,3
291,42,Fantastic Voyage,3927,3927.0,2026-07-03 17:21:57,4
292,42,True Grit,82459,82459.0,2026-07-17 03:01:32,1
293,43,Fiddler on the Roof,4857,4857.0,2025-10-02 04:48:37,2
294,43,"Truth About Cats & Dogs, The",708,708.0,2026-02-03 06:01:37,4
295,43,Blazing Saddles,3671,3671.0,2025-09-17 07:01:48,6
296,43,Dunkirk,174055,174055.0,2026-05-29 20:36:08,1
297,43,Jerry Maguire,1393,,2026-04-21 04:43:59,7
298,43,"Brothers Grimm, The",36401,36401.0,2026-07-19 23:29:56,1
299,43,"Little Shop of Horrors, The",2747,,2026-07-08 18:07:48,8
300,43,Field of Dreams,1302,1302.0,2025-11-26 19:10:24,3
301,43,"League of Their Own, A",3255,3255.0,2026-04-11 15:21:32,1
302,43,"Running Man, The",3698,3698.0,2026-06-25 21:45:27,4
303,43,"Dark Knight, The",58559,,2025-12-16 12:19:52,7
304,44,"Terminator, The",1240,1240.0,2026-01-12 13:33:43,2
305,44,"Usual Suspects, The",50,,2025-09-19 12:00:12,2
306,44,Working Girl,2245,2245.0,2025-10-23 16:00:50,9
307,44,Platoon,1090,1090.0,2025-12-11 04:14:04,8
308,44,"Constant Gardener, The",36517,,2025-12-26 06:19:58,3
309,44,Puppet Master,3660,3660.0,2025-10-18 09:57:14,8
310,44,One Flew Over the Cuckoo's Nest,1193,,2026-02-02 01:55:08,8
311,44,Edge of Tomorrow,111759,,2026-04-08 21:02:06,4
312,44,Casablanca,912,,2025-11-03 10:59:39,7
313,44,Powder,24,,2026-08-31 05:37:54,7
314,45,"Indian in the Cupboard, The",60,60.0,2026-07-29 09:57:39,3
315,45,Enemy of the State,2353,,2026-03-22 02:10:57,2
316,45,Tango & Cash,4673,,2026-03-16 22:47:10,10
317,45,Small Soldiers,1920,1920.0,2025-11-01 19:39:05,7
318,45,Planet of the Apes,4643,,2026-05-04 19:11:44,6
319,46,Running Scared,2457,,2025-09-09 19:29:02,3
320,46,Harold and Kumar Go to White Castle,8807,8807.0,2025-10-02 12:02:30,8
321,46,"Patriot, The",3753,,2026-06-30 07:52:50,7
322,46,Police Academy 4: Citizens on Patrol,2381,2381.0,2025-12-09 21:36:22,3
323,46,Dogville,7371,7371.0,2026-01-07 06:34:36,2
324,46,Star Wars: Episode VI - Return of the Jedi,1210,,2026-01-22 15:52:42,6
325,46,"Bug's Life, A",2355,,2025-09-12 00:45:47,10
326,46,"Family Thing, A",635,,2026-08-12 20:18:40,7
327,46,Talladega Nights: The Ballad of Ricky Bobby,46970,,2025-11-30 07:26:25,5
328,47,"Graduate, The",1247,1247.0,2026-02-20 22:08:27,1
329,47,On Any Sunday,2984,2984.0,2025-11-26 09:00:01,7
330,47,Schindler's List,527,,2026-03-16 10:26:33,9
331,47,Stuck on You,7150,7150.0,2025-12-08 22:31:11,2
332,47,"Dangerous Lives of Altar Boys, The",5421,,2026-01-06 16:14:58,7
333,47,Zodiac,51540,51540.0,2025-11-21 04:40:47,5
334,47,"Talented Mr. Ripley, The",3176,3176.0,2026-04-28 13:57:16,2
335,47,Monsieur Ibrahim,7299,7299.0,2026-06-11 04:26:22,3
336,47,Finding Neverland,8970,,2025-11-21 14:45:26,5
337,48,Wide Awake,1812,1812.0,2025-11-30 23:55:51,1
338,48,Pearl Harbor,4310,4310.0,2026-01-18 13:35:54,6
339,48,"Fast Runner, The",5417,5417.0,2025-11-23 12:36:31,6
340,48,American Beauty,2858,2858.0,2026-03-05 23:22:30,10
341,48,"Killer, The",1218,,2026-05-06 05:40:04,3
342,48,Harry Potter and the Order of the Phoenix,54001,54001.0,2025-10-18 01:26:26,2
343,48,"Sixth Sense, The",2762,2762.0,2025-10-19 03:17:58,9
344,48,"Witches, The",7045,,2026-01-21 19:38:34,9
345,48,Masters of the Universe,4133,4133.0,2025-11-21 13:59:20,9
346,48,"Devil Wears Prada, The",45720,45720.0,2025-12-19 20:11:34,5
347,48,Fury,115210,,2026-05-27 02:57:36,6
348,49,Metro,1432,1432.0,2025-12-07 03:48:37,1
349,49,Elysium,103253,,2025-11-17 08:53:05,7
350,49,"Shawshank Redemption, The",318,,2026-07-03 14:15:11,8
351,50,Spider-Man 2,8636,,2025-11-27 16:52:46,5
352,50,Superbad,54503,,2026-09-03 10:26:15,9
353,50,"Beautiful Mind, A",4995,4995.0,2025-09-13 05:49:21,10
354,50,Nosferatu the Vampyre,5489,,2025-10-05 08:15:30,10
355,50,Alpha,185031,,2025-10-02 15:45:55,10
356,51,Scream,1407,,2026-04-23 03:54:32,5
357,51,Phenomenon,802,,2025-12-25 19:47:34,8
358,51,Zero Dark Thirty,98961,98961.0,2026-08-08 15:48:02,2
359,51,Species,196,196.0,2025-12-24 09:13:26,3
360,51,"Departed, The",48516,48516.0,2026-07-05 04:38:07,1
361,51,There's Something About Mary,1923,,2026-09-05 13:39:04,2
362,51,Reindeer Games,3316,,2025-09-18 20:03:42,10
363,51,Houseguest,248,,2025-12-07 16:48:07,8
364,51,Crash,33166,,2026-06-20 13:49:29,9
365,51,Stalag 17,3196,,2026-08-05 23:10:02,10
366,52,"Usual Suspects, The",50,,2025-10-25 01:17:24,10
367,52,Toy Story,1,,2026-07-11 10:56:26,2
368,53,Star Wars: Episode IV - A New Hope,260,260.0,2026-05-18 13:48:52,4
369,53,"Shawshank Redemption, The",318,318.0,2026-01-15 04:38:51,5
370,53,Billy Elliot,3967,,2025-09-19 01:38:08,9
371,54,Chasing Amy,1639,,2026-03-26 04:31:04,4
372,54,Monty Python and the Holy Grail,1136,1136.0,2025-11-24 20:39:40,3
373,54,"Amityville Horror, The",1327,1327.0,2026-05-18 03:04:05,2
374,54,E.T. the Extra-Terrestrial,1097,,2026-06-22 13:56:06,9
375,54,"Town, The",80489,80489.0,2025-12-28 02:46:15,9
376,54,Peter Pan,2087,2087.0,2026-03-29 16:01:25,4
377,54,World War Z,103249,103249.0,2026-06-20 15:05:58,5
378,54,Tales from the Darkside: The Movie,2327,,2026-03-05 11:38:24,8
379,54,4 Little Girls,4217,4217.0,2026-06-06 09:51:51,2
380,55,Hoop Dreams,246,,2026-04-03 06:35:23,8
381,55,48 Hrs.,5049,,2025-12-06 23:48:10,5
382,55,Coneheads,435,435.0,2026-08-03 23:31:56,2
383,55,Taxi Driver,111,,2025-11-15 07:12:59,10
384,56,Thumbsucker,36537,,2026-09-05 21:36:21,6
385,56,Inglourious Basterds,68157,68157.0,2026-06-11 08:05:26,3
386,56,"Bodyguard, The",3257,,2026-06-28 08:27:33,10
387,56,"Palm Beach Story, The",2937,2937.0,2025-11-29 20:35:49,1
388,56,"Sentinel, The",45062,,2026-02-28 17:37:49,6
389,56,Jason and the Argonauts,7757,,2026-06-20 13:39:58,9
390,57,Jumper,58025,,2026-06-03 06:15:22,9
391,57,Miller's Crossing,1245,1245.0,2026-05-13 20:03:28,9
392,57,We Own the Night,55272,,2026-07-14 10:43:23,10
393,57,Kissing Jessica Stein,5222,,2025-10-12 08:41:45,5
394,57,Groundhog Day,1265,1265.0,2025-11-02 17:35:34,6
395,57,Elf,6936,,2026-07-28 09:12:20,10
396,57,Blended,111617,,2026-08-03 07:49:27,5
397,57,Dumb & Dumber,231,,2026-06-28 00:46:10,3
398,57,Titanic,1721,1721.0,2025-09-24 06:01:30,2
399,57,Iron Man,59315,59315.0,2026-08-05 19:08:50,1
400,57,Must Love Dogs,34336,34336.0,2025-11-08 05:19:32,8
401,57,Terminator 2: Judgment Day,589,,2026-06-08 14:15:52,9
402,57,Monty Python and the Holy Grail,1136,,2025-09-15 00:01:14,5
403,57,Arthur 2: On the Rocks,4471,4471.0,2026-08-05 09:00:00,6
404,58,Coraline,66097,,2026-02-13 09:34:11,10
405,58,Yes Man,64969,64969.0,2026-04-27 14:34:37,10
406,58,"Game, The",1625,1625.0,2026-06-23 10:20:19,7
407,58,Cars,45517,45517.0,2025-09-19 08:49:16,7
408,58,Stargate,316,316.0,2026-05-16 01:04:43,1
